"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"9911","AC093673.1",0.128880876803425,1.06163653909426,0.695376759470039,0.487216772289537,0.907250341090837,-5.06742867241623
"9912","RPL3P4",-0.00273583359812735,7.73554747097172,-0.0432909826933941,0.965490848080762,0.996179841434414,-5.6322460842137
"9913","HLA-DQB2",0.106502508340909,3.08518681825473,0.349609804516065,0.726812706485685,0.953850691063079,-5.3420939710047
"9914","PRPS1P2",0.0649165943937208,1.52320418339429,0.528138028882431,0.597691894036645,0.926016083816023,-5.17609965975833
"9915","AC010733.1",-0.0589909364948223,1.68486945684697,-0.493416518102795,0.621984930544798,0.930708070556066,-5.19637687071087
"9916","AL137186.2",0.29128844675627,2.00942887205109,2.44931177396656,0.0147344112460928,0.56505200974402,-3.04401713884657
"9917","TNF",0.200248454178335,4.18358998867085,0.57054378107951,0.56862435440134,0.91867631847221,-5.38659221176391
"9918","AL360270.1",0.0123540462134838,1.32779820253155,0.114794628244163,0.908664620204556,0.986139338027493,-5.25897114978226
"9919","DUX4L50",0.723753568204258,1.36060997397516,3.20974151430121,0.00143404687273462,0.376584265278241,-1.51263694615982
"9920","RPS2P32",-0.125081509089241,0.891614958352976,-0.881872385934385,0.378367279574187,0.86379586839787,-4.95508936691265
"9921","PET117",-0.0807580308500095,2.10275522076161,-0.909088787507212,0.36384224641448,0.854759641111592,-5.00371125805939
"9922","LYRM9",0.105725289468594,2.88628231045785,0.967508985453923,0.333865255560092,0.837959379492786,-5.0160297508516
"9923","AC127070.1",-0.150464813586379,4.096270220672,-1.80306435638487,0.0721189524751442,0.678896441352151,-4.15581670134325
"9924","AL450344.3",0.0954772253759102,2.13877234559587,0.526789342526571,0.598627389129751,0.926016083816023,-5.21753259571355
"9925","DLGAP4-AS1",0.0131146995070743,1.92334395674494,0.0968890229775208,0.922862304767853,0.989070323579666,-5.29921303715215
"9926","AL512844.1",-0.0197814476642671,1.75870380783325,-0.186281263370097,0.852317179094621,0.97736234955928,-5.27912987736913
"9927","SNHG15",-0.167100147099124,6.23084614422309,-1.36209995366009,0.17392107317059,0.752067240185398,-4.82613655066301
"9928","RGS5",0.0804212989200241,1.31126890190105,0.473698227643125,0.635969570696077,0.933734293713002,-5.17929480648477
"9929","SNHG7",0.0711210173264947,6.43555921987106,0.653313350391604,0.513923850641563,0.907889184161126,-5.45261194076576
"9930","CCDC144NL-AS1",-0.225348038190278,2.0477346875203,-0.7544408179043,0.451021650035561,0.897092283374556,-5.10451117913112
"9931","AC008105.1",0.143906791107985,4.96629273212829,1.27990482547067,0.201308988162416,0.771427668305994,-4.88495163444018
"9932","AC016876.1",0.112133582969224,0.587686214612796,1.08135170178867,0.280182158196072,0.814550851748298,-4.80438014901374
"9933","AC079807.2",0.175906487585664,1.07874862650365,1.40950761977367,0.159450139621137,0.74266783694305,-4.52323603265852
"9934","HNRNPA1P49",-0.12146363329807,1.25042012418308,-0.83421473970861,0.404650224752734,0.877817084027873,-4.99876313200035
"9935","FAM238A",0.0471733229055225,1.26285503014108,0.292216448047715,0.770270305772293,0.961888654195933,-5.23386027624954
"9936","AC006042.3",0.0133847037683895,1.65481675658504,0.0766041933000768,0.938976133193217,0.992001939905535,-5.2717060636452
"9937","GPX1",0.163677708947009,5.88193836911451,1.6572112750833,0.0982487532711042,0.696462000318172,-4.43261664446654
"9938","Z83844.2",-0.0226498838352587,0.715597410407813,-0.147031325913325,0.883180230559981,0.982805360308814,-5.21659119588265
"9939","EIF3FP3",0.0166878017978043,5.02937032801416,0.241394084405806,0.809371485135414,0.970242077746006,-5.5723528965687
"9940","HOTAIRM1",0.170281604102391,1.647181519381,0.721134633477261,0.471241459135535,0.90270445384505,-5.09271657302045
"9941","ZNF529-AS1",0.181345048125571,2.12538186956337,1.75553828436678,0.0799208924338174,0.685846782110959,-4.1430708733756
"9942","EIF4EP1",0.000187155187385935,0.769643579315117,0.0015667462610395,0.998750686881948,0.999373404866109,-5.23222128275581
"9943","AC060234.2",-0.0184748448762754,1.82820279102269,-0.165455196162901,0.868668012530612,0.978947557917263,-5.28711848562577
"9944","GAS6-AS1",-0.101613251874,4.71198684532932,-0.356530309555323,0.721628549651207,0.95345848477124,-5.52833986317714
"9945","HIST1H2BN",-0.292588347141193,1.02440701285709,-1.23146034202476,0.218863102339651,0.784805074330076,-4.68959066899316
"9946","EIF4HP1",-0.133164668528881,0.740397322997519,-1.17137182225626,0.242135894416289,0.797161757600068,-4.73438686101794
"9947","AC139769.1",0.209278291231147,1.37270539731994,0.959315260532,0.33797051338147,0.837959379492786,-4.93022090616624
"9948","YEATS2-AS1",0.08463231541534,0.965185812403815,0.697586443728867,0.485834888639627,0.907250341090837,-5.06732380537512
"9949","AL671855.1",-0.0477855665252644,0.899383773496078,-0.405142293627655,0.685586170709205,0.945593237477756,-5.17585519085038
"9950","RPL10P9",0.00574884047043067,4.72019396332434,0.0837676542106737,0.933282425769637,0.990492477121395,-5.57468816684128
"9951","RPS28",0.105522831511338,4.5165977659457,0.621115862120941,0.53487171761058,0.911581261497385,-5.39842266237416
"9952","UQCRHL",0.105860028961929,2.55330759218812,1.52214113596255,0.128751670876603,0.715812923041579,-4.45201186416539
"9953","RPL5P34",-0.12185413846195,2.1360789752392,-1.42260261661081,0.155618744270664,0.738496140371196,-4.54540852041921
"9954","AC062029.1",-0.037051148420189,5.12368351031347,-0.271780035586473,0.785929214392689,0.964296985798076,-5.56741308312895
"9955","AC074117.1",0.0986566916759555,2.06798210300394,1.02960432399623,0.303808364380892,0.828122464383658,-4.91068659257739
"9956","TRIM26",-0.0211195213565598,7.20764221108946,-0.266766534823023,0.789784274843359,0.964819895941821,-5.60752860455534
