"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"5232","FCRL5",-0.660098320042673,8.23012233288078,-1.48852593423174,0.140326960514823,0.317390010634632,-6.63011828709281
"5233","RRNAD1",-0.640583150638105,4.99536503616303,-3.31693430804346,0.00134224001445153,0.0147028264740907,-2.48024662321124
"5234","MRPL24",-0.878136884080875,2.381905647116,-2.23966713152837,0.0277326138203291,0.114093117788677,-4.8076396497541
"5235","PIGM",-0.0565425766092363,1.97323094964184,-0.180631496276822,0.85708842622795,0.928034709000999,-7.3282038337628
"5236","ISG20L2",0.174655112034346,5.2196109534759,1.13381223285993,0.260072928201014,0.461573013275898,-7.06584060524298
"5237","CRABP2",0.430876635437284,1.16976410345659,1.47481492046665,0.143970595165927,0.323185147661571,-6.14432192755251
"5238","HDGF",0.201784488571639,6.57463287417494,1.34284477912978,0.182910561986666,0.37263111343377,-6.84403245930297
"5239","ABL2",-0.182089023971689,5.53263652349181,-1.02178240667247,0.309794093328936,0.512439704477541,-7.21305014088293
"5240","XPR1",0.394198759063877,5.36335959029054,2.45244042447853,0.0162421138653842,0.0805185689221729,-4.78736388015693
"5241","TOR1AIP1",0.666927565000171,6.90896900070792,2.70529472126142,0.00824972901420813,0.0519984696206619,-4.20164965527058
"5242","LYPLAL1",0.404483063832549,2.62388528884289,1.67476059860267,0.0976706236177069,0.252742255387294,-5.96027873555753
"5243","PRUNE1",-0.162653771104391,4.01883752814872,-0.848449426502069,0.39857969473717,0.599489784767289,-7.2472362995177
"5244","TUFT1",0.677037738474081,2.57451083307009,1.51234432261114,0.134169434448746,0.308484821985184,-6.43805345607143
"5245","SF3B4",0.159255653429263,5.53252078848968,0.888448740785982,0.376816118936204,0.578938202013321,-7.3278029036412
"5246","ZNF687",0.0259662367842486,6.60055295038739,0.163723402192261,0.870339019308445,0.93539105140393,-7.73089805284125
"5247","TARS2",-0.109560739740886,4.77619442948549,-1.01400034251595,0.31347106673807,0.516323527816874,-7.17385388054346
"5248","SNX27",-0.0667629090308235,4.29863743128006,-0.35232434250737,0.725470375705672,0.849035925429968,-7.57323381822986
"5249","SETDB1",-0.0473657362358773,6.2699248646552,-0.39282116505312,0.695438673772809,0.831168390012386,-7.668106637172
"5250","MCL1",0.526788256029877,10.4655530044062,2.85192902834086,0.00545861957278626,0.0393933195794575,-3.78897881248249
"5251","CTSK",0.264080672468205,4.18827392862644,1.35204026750057,0.17996246540732,0.369206571787065,-6.68594970647725
"5252","RFX5",0.0644362341458873,7.3464977149361,0.46801137528801,0.640978772153842,0.793647890093809,-7.63168252765245
"5253","PI4KB",-0.187145717747768,6.89864610822299,-1.70641402197211,0.091595965326963,0.243011831524187,-6.299918335649
"5254","PIP5K1A",-0.0249606561285152,6.13842796971505,-0.143238210399001,0.886442346412778,0.943307684319176,-7.73281239298814
"5255","ANP32E",0.384494947440394,6.57629125400158,2.184507730129,0.0316887543796165,0.124112266076938,-5.40166137434662
"5256","MINDY1",-0.630662876795768,1.72131355379296,-1.6939339046651,0.0939531006176714,0.246904935219608,-5.83450324536768
"5257","CERS2",0.147933343348678,6.21887415351474,1.42679251832029,0.157316449873812,0.341629070855092,-6.72050833878234
"5258","ENSA",0.038602453400109,6.83849350374788,0.296704084693704,0.76741895127016,0.873814988166633,-7.70198822494093
"5259","MRPL9",0.555065377482981,5.6549585657635,3.80725481138714,0.000265059681568946,0.00408633675752125,-0.981454950894591
"5260","ARNT",-0.00869389112694119,6.2454834662987,-0.0601614278523872,0.952168820973702,0.97743657738632,-7.74162477227613
"5261","POGZ",-0.0300798327942005,7.17300660815809,-0.208011021975154,0.835719826083111,0.916304287205894,-7.71890045290768
"5262","C1orf56",-1.29904722901967,1.81840353277694,-4.48341248121332,2.28940390927329e-05,0.000488699680633336,1.74853471899208
"5263","OAZ3",-3.9093021237404,-0.417610613298865,-14.7597746397334,3.91158688860395e-25,3.21053135117458e-23,46.7272734612247
"5264","GOLPH3L",-0.0963065375406207,2.08205692906384,-0.285021732243273,0.776323407404877,0.87964702637603,-7.25508244487554
"5265","GABPB2",-0.244694602738027,5.16264497999905,-0.809564566023563,0.420459454432331,0.618744310783942,-7.36766276158458
"5266","DTL",1.14388013547903,1.35981884689598,2.48166531103287,0.0150533066630545,0.0768072711199347,-4.23521649022052
"5267","EIF2D",-0.496108820073259,5.73812065183523,-3.39466534567226,0.00104769594480043,0.0122599359805713,-2.26065789270368
"5268","INTS7",-0.435614197155196,2.97282916013669,-1.21535430669627,0.227608560152296,0.424376542725166,-6.69078248996557
"5269","TAF1A",0.0702891036521531,2.52766873064258,0.324989586225096,0.745990490125263,0.861003696900494,-7.3527623962414
"5270","SMYD2",-0.298463521000693,4.12634205438759,-1.19211493749994,0.236546202585876,0.435605307495399,-6.84880281418723
